"Id_article";"Id_obs";"Authors";"Title";"DOI";"Year_of_publication";"Experiment_period";"Experiment_year";"Country";"Study_site";"Latitude";"Longitude";"Continent";"Climate_zone";"Geocoordinates";"Soil_type_WRB_USDA";"Soil_texture";"Soil_pH";"Greenhouse";"Organic_ferti";"Mineral_ferti";"Pesticide";"Irrigation";"Nitrogen_rate_kg_ha";"Additional_factor";"Intercropping_design";"Intercropping_pattern";"Crop_1_Common_Name";"Crop_1_Scientific_Name";"Crop_2_Common_Name";"Crop_2_Scientific_Name";"Crop_1_yield_sole";"Crop_2_yield_sole";"Crop_1_yield_intercropped";"Crop_2_yield_intercropped";"Yield_total_intercropping";"Yield_unit";"Yield_measure";"Data_location";"LER_crop1";"LER_crop2";"LER_tot";"LER_crop_1_calc";"LER_crop_2_calc";"LER_tot_calc"
1;1;"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN";"STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION";"10.1111/j.1439-037X.1991.tb00959.x";1991;"1987-1988";"1987";"India";"Agricultural Experimental Farm of Indian Statistical Institute at Giridih";24,1912233822818;86,3053822105898;"South Asia";"Cwa";"Estimated";NA;"Sandy loam (SL)";NA;NA;NA;"Yes";NA;NA;"60";NA;"Additive";"Row";"Maize";"Zea mays L.";"Groundnut";"Apios americana Medik.";2,46;2,2;2;0,91;2,91;"t/ha";"Grain Yield";"Table 1, table 3";NA;NA;1,22;0,813008130081301;0,413636363636364;1,22664449371766
1;2;"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN";"STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION";"10.1111/j.1439-037X.1991.tb00959.x";1991;"1987-1988";"1987";"India";"Agricultural Experimental Farm of Indian Statistical Institute at Giridih";24,1912233822818;86,3053822105898;"South Asia";"Cwa";"Estimated";NA;"Sandy loam (SL)";NA;NA;NA;"Yes";NA;NA;"60";NA;"Additive";"Row";"Maize";"Zea mays L.";"Cowpea";"Vigna unguiculata L. Walp.";2,46;0,87;2,14;0,33;2,47;"t/ha";"Grain Yield";"Table 1, table 3";NA;NA;1,26;0,869918699186992;0,379310344827586;1,24922904401458
1;3;"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN";"STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION";"10.1111/j.1439-037X.1991.tb00959.x";1991;"1987-1988";"1987";"India";"Agricultural Experimental Farm of Indian Statistical Institute at Giridih";24,1912233822818;86,3053822105898;"South Asia";"Cwa";"Estimated";NA;"Sandy loam (SL)";NA;NA;NA;"Yes";NA;NA;"60";NA;"Additive";"Row";"Maize";"Zea mays L.";"Mung bean";"Vigna radiata L.";2,46;0,66;2,15;0,16;2,31;"t/ha";"Grain Yield";"Table 1, table 3";NA;NA;1,12;0,873983739837398;0,242424242424242;1,11640798226164
1;4;"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN";"STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION";"10.1111/j.1439-037X.1991.tb00959.x";1991;"1987-1988";"1988";"India";"Agricultural Experimental Farm of Indian Statistical Institute at Giridih";24,1912233822818;86,3053822105898;"South Asia";"Cwa";"Estimated";NA;"Sandy loam (SL)";NA;NA;NA;"Yes";NA;NA;"60";NA;"Additive";"Row";"Maize";"Zea mays L.";"Groundnut";"Apios americana Medik.";2,94;1,66;2,83;0,73;3,56;"t/ha";"Grain Yield";"Table 1, table 3";NA;NA;1,44;0,962585034013606;0,439759036144578;1,40234407015818
1;5;"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN";"STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION";"10.1111/j.1439-037X.1991.tb00959.x";1991;"1987-1988";"1988";"India";"Agricultural Experimental Farm of Indian Statistical Institute at Giridih";24,1912233822818;86,3053822105898;"South Asia";"Cwa";"Estimated";NA;"Sandy loam (SL)";NA;NA;NA;"Yes";NA;NA;"60";NA;"Additive";"Row";"Maize";"Zea mays L.";"Cowpea";"Vigna unguiculata L. Walp.";2,94;0,21;1,48;0,57;2,05;"t/ha";"Grain Yield";"Table 1, table 3";NA;NA;0,85;0,503401360544218;2,71428571428571;3,21768707482993
1;6;"ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN";"STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION";"10.1111/j.1439-037X.1991.tb00959.x";1991;"1987-1988";"1988";"India";"Agricultural Experimental Farm of Indian Statistical Institute at Giridih";24,1912233822818;86,3053822105898;"South Asia";"Cwa";"Estimated";NA;"Sandy loam (SL)";NA;NA;NA;"Yes";NA;NA;"60";NA;"Additive";"Row";"Maize";"Zea mays L.";"Mung bean";"Vigna radiata L.";2,94;0,55;2,25;0,19;2,44;"t/ha";"Grain Yield";"Table 1, table 3";NA;NA;1,19;0,76530612244898;0,345454545454545;1,11076066790352
2;7;"Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez";"Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba)";"10.1080/01448765.2019.1616614";2019;"2007–2009";"2007-2008";"Tunisia";"Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE)";36,7166667;9,2;"Middle East & North Africa";"Csa";"Exact";NA;"Clay (C)";7,35;"No";NA;NA;"No";NA;"0";"Faba bean Badi cultivar";"Additive";"Row";"Fava bean";"Vicia faba L.";"Fenugreek";"Trigonella foenum-graecum L.";0,2;NA;0,34;NA;NA;"g/plant";"Seed yield";"Table 2";NA;NA;NA;1,7;NA;NA
2;8;"Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez";"Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba)";"10.1080/01448765.2019.1616614";2019;"2007–2009";"2007-2008";"Tunisia";"Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE)";36,7166667;9,2;"Middle East & North Africa";"Csa";"Exact";NA;"Clay (C)";7,35;"No";NA;NA;"No";NA;"0";"Faba bean Najeh cultivar";"Additive";"Row";"Fava bean";"Vicia faba L.";"Fenugreek";"Trigonella foenum-graecum L.";5,7;NA;8,31;NA;NA;"g/plant";"Seed yield";"Table 2";NA;NA;NA;1,45789473684211;NA;NA
2;9;"Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez";"Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba)";"10.1080/01448765.2019.1616614";2019;"2007–2009";"2008-2009";"Tunisia";"Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE)";36,7166667;9,2;"Middle East & North Africa";"Csa";"Exact";NA;"Clay (C)";7,35;"No";NA;NA;"No";NA;"0";"Faba bean Badi cultivar";"Additive";"Row";"Fava bean";"Vicia faba L.";"Fenugreek";"Trigonella foenum-graecum L.";0,99;NA;1,89;NA;NA;"g/plant";"Seed yield";"Table 2";NA;NA;NA;1,90909090909091;NA;NA
2;10;"Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez";"Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba)";"10.1080/01448765.2019.1616614";2019;"2007–2009";"2008-2009";"Tunisia";"Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE)";36,7166667;9,2;"Middle East & North Africa";"Csa";"Exact";NA;"Clay (C)";7,35;"No";NA;NA;"No";NA;"0";"Faba bean Najeh cultivar";"Additive";"Row";"Fava bean";"Vicia faba L.";"Fenugreek";"Trigonella foenum-graecum L.";5,73;NA;8,67;NA;NA;"g/plant";"Seed yield";"Table 2";NA;NA;NA;1,5130890052356;NA;NA
